No	大分類	中分類	国	産地	銘柄名	市販価格	バー価格	知名度	味わいタグ	検索タグ	ソフィーのセリフ	定番フラグ	ソフィーの推し	GPT_甘辛	GPT_ボディ	GPT_個性	GPT_第4軸	GPT_コスパ	GPT_評価根拠	Gemini_甘辛	Gemini_ボディ	Gemini_個性	Gemini_第4軸	Gemini_コスパ	Gemini_根拠	Claude_甘辛	Claude_ボディ	Claude_個性	Claude_第4軸	度数	マップ産地	製造元と創業年	銘柄誕生年	公式URL	鑑定評価(200字)	ソフィーの裏話	情報ソース、
90	カクテル	リキュール系カクテル	アメリカ	ニューヨーク	メロンボール	200円	1,100円	3	甘口,ライトボディ,フルーティー,トロピカル,柑橘系,すっきり消える,冷やして飲む	アメリカ,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,気分を上げたい,見た目が映える	メロンとオレンジの陽気なコンビ。飲みやすくて気づけばグラスが空っぽです。			1.4		1.6	0.7	−	メロン香が前面	1.4	0.3	1.1	0.6	-	メロンリキュールの甘美な香りが主役のデザート系	1	0	0	0.5	0.12	"アメリカ / 国際"	-	1978年	-	メロンリキュール（主にミドリ）、ウォッカ、オレンジジュースをビルドする。1978年、サントリーのメロンリキュール「ミドリ」がニューヨークの「スタジオ54」で発表された際、世界的なマーケティングの一環として広まった。鮮やかな緑色と、メロンの甘く芳醇な香りがオレンジジュースと見事に調和する。米国でのミドリの成功を象徴する一杯であり、そのポップな見た目と親しみやすさから、世界中のナイトシーンで愛されている。	ニューヨークの伝説的なディスコで華々しくデビューした「ミドリ」のシグネチャーカクテルです。メロンの芳醇な香りが、オレンジと出会ってより一層輝きを増します。	"Suntory Midori Official、"
91	カクテル	リキュール系カクテル	イギリス	ロンドン	スロージンフィズ	230円	1,200円	3	やや甘口,ライトボディ,フルーティー,ベリー系,柑橘系,炭酸・泡立ち,すっきり消える,冷やして飲む	イギリス,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,ゆったりしたい,旅を感じたい	スロージンとレモンの素朴な爽やかさ。英国の野の実が、ゆっくりとした夜に似合います。			1.1		1.2	0.9	−	ベリー系甘酸型	0.7	0.2	1.2	1.4	-	プラム系の甘酸っぱさとジンのハーブ感が心地よい	0.5	-0.5	0	1	0.12	"イギリス / 国際"	-	1900年代初頭	-	スローベリー（西洋スモモ）を漬け込んだリキュール「スロージン」にレモンジュース、砂糖、ソーダを加える。19世紀末の英国で親しまれていたレシピ。通常のジンフィズよりも甘みが強く、ベリー系のフルーティーな香りと赤みがかった色合いが特徴。かつては寝酒や狩猟の合間の飲み物としても重宝された。甘酸っぱい親しみやすさがあり、ジンの苦味が苦手な層にも広く受け入れられているクラシックなロングカクテル。	スモモの野生味あふれる甘酸っぱさが、ソーダで弾ける爽やかな一杯です。100年以上前から愛されているレシピで、どこか懐かしい、優しい味がします。	サントリー、Wikipedia
92	カクテル	リキュール系カクテル	イタリア	ミラノ	カンパリオレンジ	150円	1,000円	1	中口,ミディアムボディ,柑橘系,ハーバル,渋み・タンニン,余韻が長い,冷やして飲む	イタリア,誰でも知ってる定番,お酒好き向け,食前酒,大人の夜,ゆったりしたい	カンパリの美しい赤とオレンジの出会い。イタリアの夕暮れのような苦甘さをどうぞ。			0.6		1.2	0.5	−	苦味と果実の中庸型	0.4	0.4	1	0.6	-	カンパリ特有の苦味をオレンジの甘味が包み込む	0	0	0.5	0.5	0.08	"イタリア / 国際"	-	19世紀末	-	イタリアを代表するビターリキュール「カンパリ」をオレンジジュースで割る。本国イタリアでは「ガルバルディ」の名で呼ばれる。19世紀のイタリア統一の英雄ガルバルディが、赤い服を着ていたことに由来する。カンパリの独特な苦味とオレンジの甘酸っぱさが調和し、食欲を増進させる効果がある。シンプルながらも洗練された味わいで、世界中のカフェやバーで食前酒としての地位を不動のものにしている。	イタリア統一の英雄の名を冠した、誇り高きカクテルです。カンパリの赤は「情熱」そのもの。オレンジジュースと混ざり合うことで、その苦味が心地よいアクセントに変わります。	"Campari Official、"
93	カクテル	リキュール系カクテル	イタリア	ミラノ	カンパリソーダ	140円	900円	1	やや辛口,ライトボディ,ハーバル,柑橘系,渋み・タンニン,炭酸・泡立ち,余韻が長い,冷やして飲む	イタリア,お酒好きなら知ってる,お酒好き向け,食前酒,大人の夜,旅を感じたい,うんちく語れる	ミラノのアペリティーボ文化の象徴。赤の鮮やかさと炭酸の弾けが、夜の扉を開きます。	○		0.2		1	0.5	−	苦味主体の軽快型	-0.4	-0.6	0.9	0.5	-	独特のハーブ感と苦味がダイレクトに伝わる爽快派	-0.5	-1	0	0.5	0.08	"イタリア / ミラノ"	-	1932年	-	カンパリをソーダで割り、レモンを添える。1932年、カンパリ社が世界で初めて「既製品カクテル」として小瓶で発売したことでも知られる、歴史的ロングカクテル。カンパリ本来の複雑なハーブの香りとビターな味わいを最もストレートに楽しむことができる。非常にドライで喉越しが良く、イタリアの日常に溶け込んだ食前酒。鮮やかな赤い液体と弾ける炭酸が、洗練された大人の時間を演出する。	イタリアのカフェでは、夕方になると誰もがこの赤いグラスを手にしています。この独特の苦味を覚えると、もう他のカクテルでは物足りなくなるから不思議ですね。	"Campari Official、"
94	カクテル	リキュール系カクテル	イタリア	ミラノ	スプモーニ	160円	1,100円	2	甘口,ライトボディ,フルーティー,柑橘系,ハーバル,炭酸・泡立ち,すっきり消える,冷やして飲む	イタリア,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,食前酒,旅を感じたい,見た目が映える	スプマンテとカンパリの泡立つイタリアン。グレープフルーツが明るさを添えています。			0.4		1.3	0.6	−	苦味と柑橘の代表型	0.2	-0.1	1.1	1.5	-	グレープフルーツの酸味と苦味がカンパリとベストマッチ	0	-0.5	0.5	0.5	0.05	"イタリア / 国際"	-	1980年代	-	カンパリ、グレープフルーツジュース、トニックウォーターをビルドする。名前はイタリア語で「泡立つ」を意味する「スプマーレ」に由来する。カンパリの苦味にグレープフルーツの酸味とトニックウォーターの甘苦さが加わり、非常に重層的ながらも爽快な味わいを持つ。アルコール度数が低く、喉を潤すのに適しており、日本国内のバーでも「最初の一杯」や「リセットの一杯」として絶大な人気を誇るロングカクテル。	グレープフルーツとトニックウォーターの「苦味」がカンパリと共鳴して、驚くほどスッキリ飲めるんです。お食事の邪魔をしない、とても優秀なパートナーになってくれます。	サントリー、
95	カクテル	リキュール系カクテル	フランス	パリ	ディータモーニ	190円	1,100円	3	甘口,ライトボディ,フルーティー,フローラル,柑橘系,なめらか,すっきり消える,冷やして飲む	フランス,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,ロマンチック,見た目が映える	ライチの女神が贈るような、フローラルで上品な甘さ。乾杯の一杯に最適です。			1.3		1.6	0.8	−	ライチ香華やか	0.6	-0.2	1.4	1.4	-	ライチの甘美な香りとグレープフルーツの鋭い酸味	0.5	-0.5	0.5	0.5	0.05	"日本 / 国際"	-	1990年代	-	ライチリキュール「ディータ（ソオ）」、グレープフルーツジュース、トニックウォーターをビルドする。スプモーニのカンパリをライチリキュールに替えた構成。1990年代の日本でのライチリキュール普及に伴い、スプモーニのバリエーションとして定着した。ライチの華やかで甘い香りが、グレープフルーツの酸味とトニックの苦味で引き締められ、非常に洗練された飲み心地。女性を中心に日本国内のバーで不動のスタンダードとなっている。	ライチの香りをトニックウォーターが軽やかに運んでくれます。スプモーニよりも甘みが華やかで、ライチ好きにはたまらない定番の一杯ですね。	"Dita Official、"
96	カクテル	リキュール系カクテル	フランス	ブルゴーニュ	キール	190円	1,100円	2	やや甘口,ライトボディ,フルーティー,フローラル,ベリー系,なめらか,すっきり消える,冷やして飲む	フランス,お酒好きなら知ってる,お酒好き向け,食前酒,ロマンチック,大人の夜,うんちく語れる	ブルゴーニュの市長が考案した乾杯酒。白ワインにカシスを落とすだけの、優雅な簡単さです。			0.7		0.9	0.4	−	カシスの甘味主体	0.7	0.8	0.9	1	-	カシスの甘味と白ワインの酸味が上品に調和	0.5	0.5	-0.5	0.5	0.12	"フランス / ブルゴーニュ"	"フェリックス・キール / -"	1945年	https://www.iba-world.com/	白ワインとカシスリキュールを合わせた食前酒。第2次世界大戦後、フランス・ディジョンの市長フェリックス・キールが、地産の辛口白ワイン（アリゴテ）とカシスリキュールの販促のために考案した。当初は「ブラン・カシス」と呼ばれていたが、彼の功績を称えてその名がついた。ワインの酸味とカシスの甘みが融合した気品ある味わいで、世界で最も有名な食前酒の一つとして、格式高いレストランからバーまで幅広く供される。	ディジョン市長キール氏が、地元産のワインをアピールするために自らゲストに振る舞ったのが始まりです。彼の情熱が、この美しいルビー色のグラスに宿っています。	IBA、Wikipedia
97	カクテル	リキュール系カクテル	フランス	ブルゴーニュ	キールロワイヤル	350円	1,600円	2	やや甘口,ライトボディ,フルーティー,フローラル,ベリー系,炭酸・泡立ち,なめらか,余韻が長い,冷やして飲む	フランス,誰でも知ってる定番,お酒好き向け,乾杯・スタート,ロマンチック,大人の夜,見た目が映える	シャンパンとカシスで作る王様のキール。祝いの乾杯にこれ以上の一杯はありません。			0.9		1.2	0.5	−	泡による華やか強化	0.5	0.9	1.6	1.2	-	シャンパンの泡立ちがカシスの香りを華やかに広げる	0.5	0.5	0	0.5	0.12	"フランス / パリ"	-	1940年代末	https://www.iba-world.com/	キールの白ワインをシャンパン（スパークリングワイン）に替えた、豪華なバリエーション。「ロワイヤル（王の）」の名に相応しく、シャンパンのきめ細かな泡とカシスの甘みが混ざり合い、祝祭感に満ちた一杯。パリの高級ホテルやレストランで広まり、キールよりもさらに洗練されたイメージを持つ。特別な日の乾杯や、優雅なディナーの始まりを飾るのに最適な、シャンパンカクテルの傑作である。	シャンパンの泡の中でカシスが踊る、まさに「王家」の名に相応しい華やかさです。お祝いの席の最初の一杯に、これほど相応しいカクテルは他にありません。	IBA、Wikipedia
98	カクテル	リキュール系カクテル	日本	東京	カシスオレンジ	120円	1,000円	1	甘口,ライトボディ,フルーティー,ベリー系,柑橘系,すっきり消える,冷やして飲む	日本,誰でも知ってる定番,入門にぴったり,乾杯・スタート,無難に決めたい,コスパ抜群	日本のバーの定番。カシスの甘酸っぱさとオレンジが、迷ったときの答えになります。	○		1.2		1.4	0.6	−	甘華やか系代表	1.2	0.4	0.6	0.6	-	カシスの濃厚な甘味と果汁感が親しみやすい定番	0.5	0	0	0.5	0.05	"日本 / 国際"	-	1980年代	-	カシスリキュールをオレンジジュースで割る。日本国内でカクテルが一般化する過程で、その圧倒的な飲みやすさと親しみやすさから、若年層や女性を中心に国民的人気を得た。カシスの濃厚なベリーの甘みとオレンジの酸味が一体となり、アルコール感をほとんど感じさせない。日本のバーシーンだけでなく、居酒屋、カラオケなどあらゆる場所で提供される「日本で最も有名なカクテル」の一つと言っても過言ではない。	カクテルと言えばまずこれを思い浮かべる方も多いはず。カシスの「黒に近い赤」とオレンジが混ざり合う瞬間は、いつ見てもとても綺麗で、安心する味です。	サントリー、
99	カクテル	リキュール系カクテル	日本	東京	カシスソーダ	110円	900円	1	やや甘口,ライトボディ,フルーティー,ベリー系,炭酸・泡立ち,すっきり消える,冷やして飲む	日本,誰でも知ってる定番,入門にぴったり,乾杯・スタート,無難に決めたい,コスパ抜群	炭酸がカシスを軽やかに仕上げる定番。食事を邪魔しない、やさしい甘さです。			1		1.3	0.6	−	軽快甘味型	0.5	-0.5	0.4	0.5	-	カシスの風味をソーダが軽やかに。甘すぎない仕上がり	0.5	-1	-0.5	0.5	0.05	"日本 / 国際"	-	1980年代	-	カシスリキュールをソーダで割り、レモンを添える。カシス本来の芳醇な香りを炭酸が軽やかに引き立て、非常に喉越しが良いロングカクテル。カシスオレンジよりも甘さが控えめでスッキリとしているため、お食事中の一杯や、甘いものが苦手な層にも広く支持されている。1980年代の日本での「カシス」ブームの中で、その洗練された佇まいから定番化し、現在も「カクテルの基本」として愛され続けている。	カシスオレンジよりも少し「大人」な表情を見せてくれるのがカシスソーダです。レモンをキュッと絞ることで、カシスの香りがより一層鮮やかになります。	サントリー、
100	カクテル	リキュール系カクテル	日本	東京	ピーチウーロン	100円	800円	1	やや甘口,ライトボディ,フルーティー,ハーバル,すっきり消える,冷やして飲む	日本,誰でも知ってる定番,入門にぴったり,乾杯・スタート,食中,無難に決めたい,コスパ抜群	烏龍茶の渋みがピーチを引き締める和洋折衷。食事中にもすっとなじむ一杯です。			0.8		1.1	0.3	−	甘味抑制型の果実系	0.3	-0.6	0.5	-0.2	-	ウーロン茶が桃の甘さを切り、極めてスッキリした味わい	0.5	-1	-0.5	0.5	0.05	"日本 / 宮城県"	-	1980年代初頭	-	ピーチリキュールをウーロン茶で割る。1980年代初頭、仙台のバーで「レゲエパンチ」の名で考案されたという説が有力。お酒に弱い女性客のために、ピーチリキュールを当時流行していたウーロン茶で割ったのが始まりとされる。桃の甘みがウーロン茶のポリフェノールでスッキリと抑えられ、食事に非常に合う。仙台から全国へと広まり、現在は「レゲパン」「クーニャン」等の別名とともに、日本の居酒屋文化に欠かせない一杯となっている。	仙台のバーテンダーさんが、お酒の弱いお客様のために考えた優しい嘘から生まれたカクテルです。まるでお茶を飲んでいるような感覚で楽しめる、魔法のような組み合わせですね。	サントリー、
101	カクテル	リキュール系カクテル	日本	東京	ヨーグリートオレンジ	180円	1,000円	3	甘口,ライトボディ,フルーティー,柑橘系,クリーミー,なめらか,すっきり消える,冷やして飲む	日本,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,気分を上げたい,名前が面白い	ヨーグルトリキュールとオレンジの爽やかコンビ。まるでスムージー感覚で飲めます。			1.4	0.3	1.3	0.6	−	乳酸甘味の柔らかさ	1.1	0.9	0.7	1.1	-	ヨーグルトのコクと酸味がオレンジと絡むまろやかさ	1	0	0	0.5	0.05	"ドイツ / 国際"	-	1990年	-	プレーンヨーグルトのリキュール「ヨーグリート」をオレンジジュースで割る。1990年にサントリー（製造はドイツのワイデス社）がヨーグリートを発売した際、ヘルシーでスタイリッシュなリキュールとしてプロモーションされ、定着した。ヨーグルトの酸味とコクがオレンジの甘みと混ざり合い、濃厚な「飲むヨーグルト」のような味わい。アルコールを意識させないデザート感覚のカクテルとして、特に女性層から圧倒的な支持を得ている。	ヨーグルトのコクとオレンジのビタミン感。まるで朝食のような組み合わせですが、しっかりお酒です。お風呂上がりや、ちょっと甘いものが欲しい夜にぴったりですね。	"サントリー、Yogurito Official"
102	カクテル	リキュール系カクテル	日本	東京	照葉樹林	140円	900円	3	甘口,ミディアムボディ,フルーティー,ハーバル,なめらか,余韻が長い,冷やして飲む	日本,お酒好きなら知ってる,入門にぴったり,食後酒,ゆったりしたい,大人の夜,うんちく語れる	日本生まれの緑のカクテル。メロンとウーロンの和洋折衷が、静かな夜に合います。			0.7		1	0.2	−	抹茶系の穏やかな甘味	0.4	0.2	0.8	-0.5	-	抹茶の苦味とウーロン茶の香ばしさが重なる和風カクテル	0	-0.5	-1	0	0.05	"日本 / 国際"	-	1980年代	-	グリーンティー（抹茶）リキュールをウーロン茶で割る。1980年代にサントリーがグリーンティーリキュールを発売した際、その東洋的なイメージを活かす飲み方として提案し、広まった。名前は、抹茶と茶葉の起源である「照葉樹林文化」に由来する。お茶同士の組み合わせにより、非常にスッキリとした後味と深いコクが共存する。日本オリジナルのカクテルとして、特に食中酒や年配層にも受け入れやすい落ち着いた一杯。	「照葉樹林」という名前が、深い緑色と相まってとても風流です。抹茶の香りとウーロン茶のキレ。日本人で良かったと思わせてくれる、心落ち着く一杯ですね。	サントリー、
103	ウイスキー	その他ウイスキー	イスラエル	テルアビブ（イスラエル）	"M&H クラシック"	5,500円	800円	2	やや甘口,ミディアムボディ,フルーティー,フローラル,バニラ,なめらか,余韻が長い,ストレート向き,ロック向き	イスラエル,お酒好きなら知ってる,玄人向け,大人の夜,物語のある一杯,うんちく語れる,チャレンジしたい	地中海の太陽が熟成を加速させる驚きのイスラエルモルト。聖地が生む新たな伝説をどうぞ。			0.3	0.4	0.8	-1.5	無印	若い果実香と樽感があり、原器より少し厚く少し華やか	0.4	0.1	0.6	-1.2	-	イスラエルの温暖な気候が生む、若々しくも豊かな果実味	0	0.5	0.5	-1.5	0.46	"ドイツ・中欧 / イスラエル・テルアビブ"	ミルク＆ハニー蒸留所（2013年）	2017年	https://mh-distillery.com/	イスラエル初のシングルモルト。年間300日以上が晴天というテルアビブの高温多湿な気候を活かし、短期間で熟成を加速させる「熱成」が特徴。バーボン樽とSTR樽（シェイク・トースト・リチャー）を使用。バニラやキャラメルの甘み、軽やかな麦芽の香りが調和する。宗教上の「コーシャ」規定を遵守して製造されており、ワールド・ウイスキー・アワードでも高く評価される新世代の旗手。	イスラエルの熱い太陽が、わずか3年ほどの熟成で10年ものに近い深みを生み出します。世界が注目する「テルアビブの奇跡」とも呼ばれているんですよ。	M&H公式サイト、ウイスキー文化研究所
104	ウイスキー	その他ウイスキー	インド	ゴア（インド）	"ポール・ジョン ブリリアンス"	4,800円	700円	2	やや甘口,フルボディ,フルーティー,スパイシー,バニラ,オーク・樽,余韻が長い,余韻が複雑,ストレート向き	インド,お酒好きなら知ってる,玄人向け,大人の夜,プレミアム,うんちく語れる,話題になる一杯	ゴアの太陽が育てたインドモルトの傑作。熱帯の速い熟成が生む密度の高さに驚かされます。			0.5	0.5	1	-1.8	☆	南国果実感と甘い樽香が出やすく、価格も比較的手頃	0.5	0.2	0.5	-1.6	-	インド産麦芽の力強い甘みと、蜂蜜のような滑らかさ	0.5	0.5	0.5	-1.5	0.46	"日本 / インド・ゴア"	ジョン・ディスティラリーズ（1992年）	2012年	https://pauljohnwhisky.com/	インド西海岸のゴア州で製造されるシングルモルト。ヒマラヤ山脈の麓で収穫された6条大麦を使用。熱帯気候により年間10〜12%という極めて高い「天使の分け前（蒸散）」が発生するため、非常に凝縮感のある味わいとなる。ブリリアンスはノンピートのバーボン樽熟成。蜂蜜やアップルパイのような甘い香りと、スパイシーな余韻が特徴。インド発のプレミアムモルトとして国際的に評価が高い。	熱帯のゴアで熟成されるため、驚くほど濃厚な味わいに仕上がります。まさに、グラスの中にインドの熱風と情熱が閉じ込められているような一杯です。	ポール・ジョン公式サイト、武蔵屋
105	ウイスキー	その他ウイスキー	インド	バンガロール（インド）	"アムルット シングルモルト"	5,500円	800円	2	中口,フルボディ,フルーティー,スパイシー,オーク・樽,余韻が長い,余韻が複雑,ストレート向き,ロック向き	インド,お酒好きなら知ってる,玄人向け,大人の夜,物語のある一杯,うんちく語れる,チャレンジしたい	インドのバンガロールが生む世界を驚かせた一本。高地の熱が凝縮した、力強い個性をどうぞ。			0.4	0.7	1.1	-1.7	☆	濃縮感とスパイス感があり、華やかで厚みも一段上	0.3	0.6	0.8	-1.4	-	熱帯熟成による濃縮感と、スパイシーな余韻が個性的	0.5	1	1.5	-1	0.46	"日本 / インド・バンガロール"	アムルット蒸留所（1948年）	2004年	https://www.amrutwhisky.com/	インド産シングルモルトの先駆け。標高約900mのバンガロールで製造。厳しい熱帯気候により熟成が急速に進み、力強くリッチな酒質を形成する。アムルットはサンスクリット語で「神々の飲み物（不老不死の霊酒）」を意味する。麦芽の甘みが強く、バニラやクリーミーな口当たりが特徴。2010年に著名なジム・マレー氏が世界第3位に選出したことで、インディアン・ウイスキーの実力を世界に知らしめた。	名前の「アムルット」はインド神話に登場する「不老不死の薬」に由来します。その名に恥じない、力強くも神秘的な味わいを感じていただけるはずです。	アムルット公式サイト、ウイスキー完全バイブル
106	ウイスキー	その他ウイスキー	オーストラリア	タスマニア（オーストラリア）	"サリバンズコーブ フレンチオーク"	希少・要確認	ASK	2	甘口,フルボディ,フルーティー,スパイシー,バニラ,オーク・樽,余韻が長い,余韻が複雑,ストレート向き	オーストラリア,お酒好きなら知ってる,玄人向け,大人の夜,プレミアム,うんちく語れる,話題になる一杯	WWA世界最高賞を獲得したタスマニアの傑作。南半球の冷涼な島が生む奇跡の深みをどうぞ。		★	0.9	1.4	1.5	-2	💎	極めて濃厚でリッチ、希少性と価格の高さが突出	0.8	1.4	1.8	-1.8	💎	タスマニアの至宝。圧倒的なリッチさと気品ある芳香	0.5	1	0.5	-1.5	0.475	"その他 / オーストラリア・タスマニア"	タスマニア・ディスティラリー（1994年）	1990年代末	https://sullivanscove.com/	オーストラリア・タスマニア島を代表する稀少なシングルモルト。2014年のWWAで世界一に輝き、一躍入手困難となった。フレンチオークの樽（主にワイン樽）で長期熟成。ダークチョコレートやドライフルーツの濃厚な香りと、非常に深みのあるコクが特徴。冷涼なタスマニアの気候と良質な水、地元産の大麦にこだわり、小規模生産を貫く。コレクターズアイテムとしての価値も非常に高い。	世界一の称号を得てから、手に入れるのが最も難しいウイスキーの一つになりました。見つけられたら、それはとても幸運なことですよ。	サリバンズコーブ公式サイト、Wikipedia
107	ウイスキー	その他ウイスキー	フランス	ブルターニュ（フランス）	"ベルヴォワ ブルー"	6,000円	900円	2	やや甘口,ミディアムボディ,フルーティー,フローラル,バニラ,なめらか,余韻が長い,ストレート向き,ロック向き	フランス,お酒好きなら知ってる,玄人向け,大人の夜,物語のある一杯,うんちく語れる,話題になる一杯	コニャックの地フランスが生む意外なシングルモルト。ワイン樽の影響が、独自の世界を作ります。			0.1	0.3	0.5	-2	無印	フレンチウイスキーらしく整っており、煙感はほぼない	0.2	-0.2	0.4	-1.8	-	フランスらしいエレガントな造り。非常にクリーンで上品	0.5	0.5	1	-1.5	0.4	"フランス / シャラント"	レ・ビアンヌール社（2013年）	2015年	https://bellevoye.fr/	フランス国内の3つの異なる地域（北、東、南西）のシングルモルトをブレンドした「トリプル・モルト」。最終熟成をシャラントにある自社セラーでフランス産の新樽を用いて行う。非常に華やかでフローラルな香りと、滑らかな口当たりが特徴。フランス産の大麦、水、酵母にこだわり、優雅な「フレンチ・スタイル」を体現。ブルーはノンピートで、バニラやスパイスのバランスが良いエントリーモデル。	フランスといえばワインですが、このウイスキーはその気品と洗練さをそのまま受け継いでいます。お食事の後のデザートにも合う、とても優雅な味です。	ベルヴォワ公式サイト、
108	ウイスキー	その他ウイスキー	台湾	宜蘭（台湾）	"カバラン クラシック"	約12,000円	1,800円	3	甘口,ミディアムボディ,フルーティー,トロピカル,バニラ,フローラル,なめらか,余韻が長い,ストレート向き,ロック向き	台湾,お酒好きなら知ってる,お酒好き向け,大人の夜,旅を感じたい,話題になる一杯,うんちく語れる	台湾の亜熱帯気候が生む奇跡のモルト。マンゴーの香りが、南の島へ誘います。			0.6	0.9	1.3	-1.9	無印	トロピカルで濃密、原器より明確に厚く華やか	0.8	0.7	1.6	-1.9	-	台湾発、マンゴーを思わせる南国フルーツ香が爆発	0.5	0.5	0.5	-1.5	0.4	"日本 / 台湾・宜蘭"	カバラン蒸留所（2005年）	2008年	https://www.kavalanwhisky.com/	台湾初のウイスキー蒸留所。宜蘭（ギラン）の清らかな水と、亜熱帯気候による急速な熟成が特徴。金車グループ（キングカー）が運営。クラシックは、マンゴーやココナッツといったトロピカルフルーツの香りが際立つ、カバランのスタンダード。冷却ろ過を行わず、素材の風味を最大限に引き出す。世界中のコンペティションで賞を総なめにし、アジアのウイスキーが世界水準であることを証明した金字塔的銘柄。	台湾の暑さが、マンゴーのような南国の香りを育みます。若々しいのに、驚くほどリッチな味わいは、カバランならではの魔法ですね。	カバラン公式サイト、リードオフジャパン
109	ウイスキー	その他ウイスキー	台湾	宜蘭（台湾）	"カバラン ソリスト バーボンカスク"	18,000円	2,400円	2	甘口,フルボディ,フルーティー,トロピカル,バニラ,なめらか,余韻が長い,余韻が複雑,ストレート向き	台湾,お酒好きなら知ってる,玄人向け,大人の夜,プレミアム,うんちく語れる,話題になる一杯	亜熱帯台湾の超速熟成が生む奇跡。マンゴーと南国果実の甘みは、スコッチを超える衝撃です。		★	0.8	1.3	1.6	-1.9	無印	樽由来の甘さと濃度感が非常に強いカスクストレングス系	1.1	1.5	1.8	-1.9	-	カスクストレングスの破壊力。バニラとオークの極致	0.5	1	0.5	-1.5	57%前後	"日本 / 台湾・宜蘭"	カバラン蒸留所（2005年）	2009年	https://www.kavalanwhisky.com/	カバランの人気シリーズ「ソリスト」の一つ。加水を一切行わないシングルバレル・カスクストレングスでボトリングされる。厳選されたアメリカンオークのバーボン樽で熟成。バニラ、キャラメル、香ばしいオークの香りが圧倒的なパワーで押し寄せ、カバラン特有のトロピカルなフルーティーさと見事に融合する。ロットごとに度数や風味が微妙に異なり、原酒そのもののダイナミズムを堪能できる最高級ライン。	水を一滴も加えない「ソリスト」シリーズは、まさに台湾の熱いパッションそのもの。バニラの濃厚な甘みの後にやってくる力強さに、きっと驚かれるはずです。	カバラン公式サイト、武蔵屋
110	ウイスキー	その他ウイスキー	日本	秩父（埼玉）	"イチローズモルト リーフラベル"	13,500円	1,800円	2	やや甘口,ライトボディ,フルーティー,フローラル,バニラ,なめらか,余韻が長い,ストレート向き	日本,お酒好きなら知ってる,お酒好き向け,大人の夜,物語のある一杯,うんちく語れる	トランプのカード全54枚をラベルにした芸術品。肥土さんの夢が詰まった一本をどうぞ。			0.4	0.6	1	-1.7	無印	果実香と樽香のまとまりがよく、少し上質寄りの中庸	0.5	0.8	1.4	-1	-	秩父の環境が育む、複雑で深みのあるミズナラ感	0	0.5	0	-1.5	46%前後	"日本 / 埼玉県・秩父"	ベンチャーウイスキー秩父蒸留所（2008年）	2010年	https://www.facebook.com/ChichibuDistillery/	秩父蒸留所の創業者、肥土伊幸氏が手掛ける「リーフ・シリーズ」。羽生蒸留所の原酒と秩父蒸留所の原酒をヴァッティング（混合）した「ダブルディスティラリーズ（緑）」や、ミズナラ樽で後熟させた「ミズナラ・ウッド・リザーブ（金）」などがある。それぞれの樽の個性を最大限に活かすブレンド技術が秀逸。世界的に非常に評価が高く、常に争奪戦となるジャパニーズ・クラフトウイスキーの頂点。	ボトルの葉っぱ（リーフ）のデザインが素敵ですよね。肥土さんの情熱と、秩父の厳しい自然が育んだ、まさに「職人の芸術品」といえる味わいです。	ベンチャーウイスキー公式、ウイスキー文化研究所
111	ウイスキー	アイリッシュウイスキー	アイルランド	アントリム（北アイルランド）	ブッシュミルズ	約2,500円	800円	1	やや甘口,ライトボディ,フルーティー,フローラル,バニラ,なめらか,すっきり消える,ロック向き,ハイボール向き	アイルランド,誰でも知ってる定番,入門にぴったり,乾杯・スタート,食中,コスパ抜群	世界最古の公認蒸留所の誇り。1608年から続く伝統の滑らかさを、どうぞご堪能ください。			-0.3	-0.4	-0.2	-2	☆☆	軽くクリーンで蜂蜜少々、典型的ライト系アイリッシュ	0.3	-0.3	0.2	-1.9	☆☆	3回蒸留の滑らかさと、麦芽の優しい甘みが際立つ	0	0	0.5	-1.5	0.4	"アイルランド / 北アイルランド"	ブッシュミルズ蒸留所（1608年認可）	1880年代（ブランドとして）	https://bushmills.com/	世界最古の法定蒸留所とされる北アイルランドの名門。アイリッシュ伝統の「3回蒸留」を行い、原料には100%麦芽を使用するシングルモルトにこだわる（スタンダード品はグレーンとのブレンド）。ノンピート麦芽による、非常にスムースでクリーンな口当たりが特徴。蜂蜜やフレッシュな果実の香りが心地よく、アイリッシュ・ウイスキーの優しさと気品を最も手軽に体験できるスタンダードボトル。	400年以上の歴史を誇る、アイリッシュの聖地のような場所で造られています。優しくて雑味がないので、ウイスキーが初めての方にも安心してお出しできます。	"アサヒビール、Bushmills Official"
